area_type,location,society,total_sqft,bath,balcony,price,bhk
Super built-up  Area,1st Block Jayanagar,,2850.0,4.0,1.0,428.0,4.0
Super built-up  Area,1st Block Jayanagar,,1630.0,3.0,2.0,194.0,3.0
Super built-up  Area,1st Block Jayanagar,,1200.0,6.0,2.0,125.0,6.0
Super built-up  Area,1st Block Jayanagar,,1875.0,2.0,3.0,235.0,3.0
Built-up  Area,1st Block Jayanagar,Bhsic C,1200.0,2.0,0.0,130.0,3.0
Super built-up  Area,1st Block Jayanagar,,1235.0,2.0,2.0,148.0,2.0
Super built-up  Area,1st Block Jayanagar,,2750.0,4.0,0.0,413.0,4.0
Super built-up  Area,1st Block Jayanagar,,2450.0,4.0,2.0,368.0,4.0
Super built-up  Area,1st Phase JP Nagar,Prhtsok,2825.0,4.0,3.0,250.0,4.0
Super built-up  Area,1st Phase JP Nagar,Prhtsok,1875.0,3.0,1.0,167.0,3.0
Built-up  Area,1st Phase JP Nagar,,1500.0,5.0,,85.0,5.0
Super built-up  Area,1st Phase JP Nagar,Prhtsok,2065.0,4.0,1.0,210.0,3.0
Super built-up  Area,1st Phase JP Nagar,NCaveun,2024.0,3.0,,157.0,3.0
Super built-up  Area,1st Phase JP Nagar,Prhtsok,2059.0,3.0,2.0,225.0,3.0
Super built-up  Area,1st Phase JP Nagar,NCaveun,1394.0,2.0,1.0,100.0,2.0
Super built-up  Area,1st Phase JP Nagar,Inntsth,1077.0,2.0,2.0,93.0,2.0
Built-up  Area,1st Phase JP Nagar,Opamaan,839.907117,1.0,1.0,63.0,1.0
Plot  Area,1st Phase JP Nagar,,1566.0,2.0,0.0,180.0,2.0
Built-up  Area,1st Phase JP Nagar,Opamaan,840.0,2.0,2.0,50.0,1.0
Super built-up  Area,1st Phase JP Nagar,Inntsth,1590.0,3.0,3.0,131.0,3.0
Super built-up  Area,1st Phase JP Nagar,Prhtsok,2180.0,3.0,2.0,210.0,3.0
Super built-up  Area,1st Phase JP Nagar,,1180.0,2.0,2.0,88.5,2.0
Super built-up  Area,1st Phase JP Nagar,,1200.0,2.0,,86.0,2.0
Built-up  Area,1st Phase JP Nagar,NCaveun,1394.0,2.0,2.0,85.0,2.0
Super built-up  Area,1st Phase JP Nagar,Inntsth,2077.0,3.0,3.0,175.0,3.0
Super built-up  Area,1st Phase JP Nagar,,4550.0,2.0,1.0,240.0,4.0
Super built-up  Area,1st Phase JP Nagar,NCaveun,1205.0,2.0,1.0,85.0,2.0
Super built-up  Area,1st Phase JP Nagar,Prhtsok,2615.0,5.0,3.0,222.0,4.0
Super built-up  Area,1st Phase JP Nagar,,900.0,2.0,1.0,75.0,2.0
Super built-up  Area,2nd Phase Judicial Layout,,1450.0,2.0,1.0,50.75,3.0
Super built-up  Area,2nd Phase Judicial Layout,,1150.0,2.0,1.0,40.25,2.0
Super built-up  Area,2nd Phase Judicial Layout,,1350.0,2.0,2.0,47.25,3.0
Super built-up  Area,2nd Phase Judicial Layout,,1350.0,2.0,2.0,47.25,3.0
Super built-up  Area,2nd Phase Judicial Layout,,900.0,2.0,2.0,41.0,2.0
Super built-up  Area,2nd Phase Judicial Layout,,1681.0,3.0,3.0,69.0,3.0
Super built-up  Area,2nd Phase Judicial Layout,,1350.0,2.0,2.0,47.25,3.0
Super built-up  Area,2nd Phase Judicial Layout,,1150.0,2.0,1.0,40.25,2.0
Plot  Area,2nd Stage Nagarbhavi,,1500.0,4.0,2.0,220.0,4.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,2.0,245.0,4.0
Plot  Area,2nd Stage Nagarbhavi,,1350.0,4.0,1.0,200.0,4.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
Plot  Area,2nd Stage Nagarbhavi,,600.0,4.0,2.0,100.0,3.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,1.0,225.0,4.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,2.0,240.0,5.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,3.0,240.0,5.0
Plot  Area,2nd Stage Nagarbhavi,,1500.0,3.0,2.0,230.0,4.0
Plot  Area,2nd Stage Nagarbhavi,,1500.0,4.0,2.0,233.0,6.0
Plot  Area,2nd Stage Nagarbhavi,,1200.0,4.0,2.0,240.0,5.0
Super built-up  Area,5th Block Hbr Layout,,1206.0,2.0,2.0,56.0,2.0
Super built-up  Area,5th Block Hbr Layout,,1270.0,2.0,2.0,70.0,3.0
Plot  Area,5th Block Hbr Layout,,1200.0,6.0,1.0,220.0,5.0
Plot  Area,5th Block Hbr Layout,,1200.0,4.0,2.0,205.0,4.0
Super built-up  Area,5th Block Hbr Layout,,1312.0,2.0,3.0,69.0,2.0
Super built-up  Area,5th Block Hbr Layout,,1200.0,5.0,,205.0,5.0
Built-up  Area,5th Block Hbr Layout,,5100.0,5.0,3.0,300.0,6.0
Plot  Area,5th Block Hbr Layout,,1200.0,5.0,,205.0,5.0
Super built-up  Area,5th Phase JP Nagar,Mangsr ,1075.0,2.0,2.0,60.0,2.0
Built-up  Area,5th Phase JP Nagar,Prenty ,1150.0,3.0,3.0,52.5,2.0
Built-up  Area,5th Phase JP Nagar,,1256.0,2.0,1.0,62.8,2.0
Super built-up  Area,5th Phase JP Nagar,,1207.0,2.0,2.0,63.0,2.0
Built-up  Area,5th Phase JP Nagar,Shlashi,1725.0,2.0,2.0,100.0,3.0
Super built-up  Area,5th Phase JP Nagar,,1440.0,2.0,2.0,60.0,2.0
Super built-up  Area,5th Phase JP Nagar,,1400.0,2.0,1.0,88.0,3.0
Super built-up  Area,5th Phase JP Nagar,Sorta S,1450.0,2.0,1.0,58.0,2.0
Built-up  Area,5th Phase JP Nagar,,1700.0,2.0,3.0,100.0,3.0
Super built-up  Area,5th Phase JP Nagar,MBncele,1485.0,2.0,2.0,67.0,3.0
